Image,Name,Length µm
IMG_20220807_192117542.jpg,total,37496.2
IMG_20220807_192257372.jpg,wes_07aug_pf-23_f,10000
IMG_20220807_192257372.jpg,standard,21805.2
IMG_20220807_192257372.jpg,total,25652.4
IMG_20220807_192453413.jpg,wes_07aug_pf-24_f,10000
IMG_20220807_192453413.jpg,standard,20453.5
IMG_20220807_192453413.jpg,total,24668.5
IMG_20220807_192759252.jpg,wes_07aug_pl-18_f,10000
IMG_20220807_192759252.jpg,standard,27521.7
IMG_20220807_192759252.jpg,total,32041.3
IMG_20220807_193033049.jpg,wes_07aug_pl-19_f,10000
IMG_20220807_193033049.jpg,standard,18868
IMG_20220807_193033049.jpg,total,23532.1
IMG_20220808_103749416.jpg,wes_06aug_pf-25_f,10000
IMG_20220808_103749416.jpg,standard,27510.3
IMG_20220808_103749416.jpg,total,34338.1
IMG_20220808_121302368.jpg,wes_07aug_pf-25_f,10000
IMG_20220808_121302368.jpg,standard,34727
IMG_20220808_121302368.jpg,total,43450.4
IMG_20220808_122014863.jpg,wes_07aug_pf-26_f,10000
IMG_20220808_122014863.jpg,standard,36039.1
IMG_20220808_122014863.jpg,total,44479.6
IMG_20220808_122430845.jpg,wes_07aug_pl-20_f,10000
IMG_20220808_122430845.jpg,standard,31486.2
IMG_20220808_122430845.jpg,total,39189.6
IMG_20220808_122612409.jpg,wes_07aug_pf-27_f,10000
IMG_20220808_122612409.jpg,standard,43907.6
IMG_20220808_122612409.jpg,total,52576.3
IMG_20220808_123043888.jpg,wes_07aug_pf-28_f,10000
IMG_20220808_123043888.jpg,standard,36048.4
IMG_20220808_123043888.jpg,total,46765.4
IMG_20220808_123308012.jpg,wes_07aug_pf-29_f,10000
IMG_20220808_123308012.jpg,standard,29091.5
IMG_20220808_123308012.jpg,total,34138
IMG_20220808_123529582.jpg,wes_07aug_pf-30_f,10000
IMG_20220808_123529582.jpg,standard,33093.8
IMG_20220808_123529582.jpg,total,38075.7
IMG_20220808_123756875.jpg,wes_09aug_pf-31_f,10000
IMG_20220808_123756875.jpg,standard,32853.7
IMG_20220808_123756875.jpg,total,39657.8
IMG_20220808_124021635.jpg,wes_07aug_pf-32_f,10000
IMG_20220808_124021635.jpg,standard,33343.7
IMG_20220808_124021635.jpg,total,42703.8
IMG_20220808_124249988_BURST000_COVER.jpg,wes_07aug_pl-21_f,10000
IMG_20220808_124249988_BURST000_COVER.jpg,standard,46375.5
IMG_20220808_124249988_BURST000_COVER.jpg,total,54689.7
IMG_20220808_133949766_HDR.jpg,wes_07aug_pf-33_f,10000
IMG_20220808_133949766_HDR.jpg,standard,30315.9
IMG_20220808_133949766_HDR.jpg,total,37767
IMG_20220809_164223854_HDR.jpg,br-op_09aug_pl-28_f,10000
IMG_20220809_164223854_HDR.jpg,standard,42919.9
IMG_20220809_164223854_HDR.jpg,total,51608.4
IMG_20220809_164254756_HDR.jpg,br-op_09aug_pl-29_m,10000
IMG_20220809_164254756_HDR.jpg,standard,29318
IMG_20220809_164254756_HDR.jpg,total,36150.3
IMG_20220809_164521766_HDR.jpg,br-op_09aug_pf-35_f,10000
IMG_20220809_164521766_HDR.jpg,standard,19405.5
IMG_20220809_164521766_HDR.jpg,total,25515
IMG_20220809_164624627_HDR.jpg,br-op_09aug_pl-27_f,10000
IMG_20220809_164624627_HDR.jpg,standard,43266.6
